DOI,References,Score,Title,Authors,Year,Abstract
10.1016/0042-6989(92)90021-a,[],0.666635,Rapid reorganization of cortical maps in adult cats following restricted deafferentation in retina,Y.M. Chino; J.H. Kaas; E.L. Smith; A.L. Langston; H. Cheng,1992.0,
10.1016/0042-6989(96)00036-3,[],0.665523,Learning Pop-out Detection: Specificities to Stimulus Characteristics,MERAV AHISSAR; SHAUL HOCHSTEIN,1996.0,
10.1038/387401a0,[],0.665759,Task difficulty and the specificity of perceptual learning,Merav Ahissar; Shaul Hochstein,1997.0,
10.7551/mitpress/5295.003.0018,[],0.669835,The Role of Attention in Learning Simple Visual Tasks,Merav Ahissar; Shaul Hochstein,2002.0,
10.1002/hbm.20158,[],0.669698,Simplified intersubject averaging on the cortical surface using SUMA,Brenna D. Argall; Ziad S. Saad; Michael S. Beauchamp,2006.0,"<jats:title>Abstract</jats:title><jats:p>Task and group comparisons in functional magnetic resonance imaging (fMRI) studies are often accomplished through the creation of intersubject average activation maps. Compared with traditional volume‐based intersubject averages, averages made using computational models of the cortical surface have the potential to increase statistical power because they reduce intersubject variability in cortical folding patterns. We describe a two‐step method for creating intersubject surface averages. In the first step cortical surface models are created for each subject and the locations of the anterior and posterior commissures (AC and PC) are aligned. In the second step each surface is standardized to contain the same number of nodes with identical indexing. An anatomical average from 28 subjects created using the AC–PC technique showed greater sulcal and gyral definition than the corresponding volume‐based average. When applied to an fMRI dataset, the AC–PC method produced greater maximum, median, and mean <jats:italic>t</jats:italic>‐statistics in the average activation map than did the volume average and gave a better approximation to the theoretical‐ideal average calculated from individual subjects. The AC–PC method produced average activation maps equivalent to those produced with surface‐averaging methods that use high‐dimensional morphing. In comparison with morphing methods, the AC–PC technique does not require selection of a template brain and does not introduce deformations of sulcal and gyral patterns, allowing for group analysis within the original folded topology of each individual subject. The tools for performing AC–PC surface averaging are implemented and freely available in the SUMA software package. Hum Brain Mapp, 2005. © 2005 Wiley‐Liss, Inc."
10.1016/s0042-6989(98)00113-8,[],0.666222,Neuronal basis of contrast discrimination,Geoffrey M. Boynton; Jonathan B. Demb; Gary H. Glover; David J. Heeger,1999.0,
10.1523/jneurosci.13-03-01202.1993,[],0.666878,A PET study of visuospatial attention,M Corbetta; FM Miezin; GL Shulman; SE Petersen,1993.0,"<jats:p>Positron emission tomography (PET) was used to identify the neural systems involved in shifting spatial attention to visual stimuli in the left or right visual field along foveofugal or foveocentric directions. Psychophysical evidence indicated that stimuli at validly cued locations were responded to faster than stimuli at invalidly cued locations. Reaction times to invalid probes were faster when they were presented in the same than in the opposite direction of an ongoing attention movement. PET evidence indicated that superior parietal and superior frontal cortex were more active when attention was shifted to peripheral locations than when maintained at the center of gaze. Both regions encoded the visual field and not the direction of an attention shift. In the right superior parietal lobe, two distinct responses were localized for attention to left and right visual field. Finally, the superior parietal region was active when peripheral locations were selected on the basis of cognitive or sensory cues independent of the execution of an overt response. The frontal region was active only when responses were made to stimuli at selected peripheral locations. These findings indicate that parietal and frontal regions control different aspects of spatial selection. The functional asymmetry in superior parietal cortex may be relevant for the pathophysiology of unilateral neglect."
10.1016/s0896-6273(00)80593-0,[],0.67016,A Common Network of Functional Areas for Attention and Eye Movements,Maurizio Corbetta; Erbil Akbudak; Thomas E Conturo; Abraham Z Snyder; John M Ollinger; Heather A Drury; Martin R Linenweber; Steven E Petersen; Marcus E Raichle; David C Van Essen; Gordon L Shulman,1998.0,
10.2307/1419876,[],0.669126,The Staircase-Method in Psychophysics,Tom N. Cornsweet,1962.0,
10.1006/cbmr.1996.0014,[],0.662991,AFNI: Software for Analysis and Visualization of Functional Magnetic Resonance Neuroimages,Robert W. Cox,1996.0,
10.1006/nimg.1998.0395,[],0.662983,Cortical Surface-Based Analysis,Anders M. Dale; Bruce Fischl; Martin I. Sereno,1999.0,
10.1002/mrm.10303,[],0.669749,Application of sensitivity‐encoded echo‐planar imaging for blood oxygen level‐dependent functional brain imaging †,Jacco A. de Zwart; Peter van Gelderen; Peter Kellman; Jeff H. Duyn,2002.0,"<jats:title>Abstract</jats:title><jats:p>The benefits of sensitivity‐encoded (SENSE) echo‐planar imaging (EPI) for functional MRI (fMRI) based on blood oxygen level‐dependent (BOLD) contrast were quantitatively investigated at 1.5 T. For experiments with 3.4 × 3.4 × 4.0 mm<jats:sup>3</jats:sup> resolution, SENSE allowed the single‐shot EPI image acquisition duration to be shortened from 24.1 to 12.4 ms, resulting in a reduced sensitivity to geometric distortions and <jats:italic>T</jats:italic><jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/tex2gif-stack-1.gif"" xlink:title=""urn:x-wiley:07403194:media:MRM10303:tex2gif-stack-1"" /> blurring. Finger‐tapping fMRI experiments, performed on eight normal volunteers, showed an overall 18% loss in <jats:italic>t</jats:italic>‐score in the activated area, which was substantially smaller than expected based on the image signal‐to‐noise ratio (SNR) and <jats:italic>g</jats:italic>‐factor, but similar to the loss predicted by a model that takes physiologic noise into account. Magn Reson Med 48:1011–1020, 2002. Published 2002 Wiley‐Liss, Inc."
10.1073/pnas.93.24.13494,[],0.668994,Neural mechanisms for visual memory and their role in attention,Robert Desimone,1996.0,"<jats:p>Recent studies show that neuronal mechanisms for learning and memory both dynamically modulate and permanently alter the representations of visual stimuli in the adult monkey cortex. Three commonly observed neuronal effects in memory-demanding tasks are repetition suppression, enhancement, and delay activity. In repetition suppression, repeated experience with the same visual stimulus leads to both short- and long-term suppression of neuronal responses in subpopulations of visual neurons. Enhancement works in an opposite fashion, in that neuronal responses are enhanced for objects with learned behavioral relevance. Delay activity is found in tasks in which animals are required to actively hold specific information “on-line” for short periods. Repetition suppression appears to be an intrinsic property of visual cortical areas such as inferior temporal cortex and is thought to be important for perceptual learning and priming. By contrast, enhancement and delay activity may depend on feedback to temporal cortex from prefrontal cortex and are thought to be important for working memory. All of these mnemonic effects on neuronal responses bias the competitive interactions that take place between stimulus representations in the cortex when there is more than one stimulus in the visual field. As a result, memory will often determine the winner of these competitions and, thus, will determine which stimulus is attended."
10.1073/pnas.022615199,[],0.67007,Experience-dependent changes in cerebellar contributions to motor sequence learning,Julien Doyon; Allen W. Song; Avi Karni; François Lalonde; Michelle M. Adams; Leslie G. Ungerleider,2002.0,"<jats:p>Studies in experimental animals and humans have stressed the role of the cerebellum in motor skill learning. Yet, the relative importance of the cerebellar cortex and deep nuclei, as well as the nature of the dynamic functional changes occurring between these and other motor-related structures during learning, remains in dispute. Using functional magnetic resonance imaging and a motor sequence learning paradigm in humans, we found evidence of an experience-dependent shift of activation from the cerebellar cortex to the dentate nucleus during early learning, and from a cerebellar–cortical to a striatal–cortical network with extended practice. The results indicate that intrinsic modulation within the cerebellum, in concert with activation of motor-related cortical regions, serves to set up a procedurally acquired sequence of movements that is then maintained elsewhere in the brain."
10.1038/369525a0,[],0.666909,fMRI of human visual cortex,Stephen A. Engel; David E. Rumelhart; Brian A. Wandell; Adrian T. Lee; Gary H. Glover; Eduardo-Jose Chichilnisky; Michael N. Shadlen,1994.0,
10.1093/cercor/7.2.181,[],0.668215,Retinotopic organization in human visual cortex and the spatial precision of functional MRI,S. Engel,1997.0,
10.1167/4.10.4,[],0.666259,Perceptual learning: A case for early selection,M. Fahle,2004.0,
10.1016/0042-6989(95)00044-z,[],0.670204,Fast perceptual learning in hyperacuity,M. Fahle; S. Edelman; T. Poggio,1995.0,
10.1167/2.2.5,[],0.668666,Comparing perceptual learning across tasks: A review,I. Fine; R. A. Jacobs,2002.0,
10.1016/0042-6989(81)90017-1,[],0.668825,Learning in grating waveform discrimination: Specificity for orientation and spatial frequency,Adriana Fiorentini; Nicoletta Berardi,1981.0,
10.1146/annurev.psych.49.1.585,[],0.668314,PERCEPTUAL LEARNING,Robert L. Goldstone,1998.0,"<jats:p>▪ Abstract  Perceptual learning involves relatively long-lasting changes to an organism's perceptual system that improve its ability to respond to its environment. Four mechanisms of perceptual learning are discussed: attention weighting, imprinting, differentiation, and unitization. By attention weighting, perception becomes adapted to tasks and environments by increasing the attention paid to important dimensions and features. By imprinting, receptors are developed that are specialized for stimuli or parts of stimuli. By differentiation, stimuli that were once indistinguishable become psychologically separated. By unitization, tasks that originally required detection of several parts are accomplished by detecting a single constructed unit representing a complex configuration. Research from cognitive psychology, psychophysics, neuroscience, expert/novice differences, development, computer science, and cross-cultural differences is described that relates to these mechanisms. The locus, limits, and applications of perceptual learning are also discussed."
10.1073/pnas.88.11.4966,[],0.669816,Where practice makes perfect in texture discrimination: evidence for primary visual cortex plasticity.,A Karni; D Sagi,1991.0,"<jats:p>In terms of functional anatomy, where does learning occur when, for a basic visual discrimination task, performance improves with practice (perceptual learning)? We report remarkable long-term learning in a simple texture discrimination task where learning is specific for retinal input. This learning is (i) local (in a retinotopic sense), (ii) orientation specific but asymmetric (it is specific for background but not for target-element orientation), and (iii) strongly monocular (there is little interocular transfer of learning). Our results suggest that learning involves experience-dependent changes at a level of the visual system where monocularity and the retinotopic organization of the visual input are still retained and where different orientations are processed separately. These results can be interpreted in terms of local plasticity induced by retinal input in early visual processing in human adults, presumably at the level of orientation-gradient sensitive cells in primary visual cortex."
10.1163/156856896x00051,[],0.667354,Three remarks on perceptual learning,J.D. Mollon; Marina V. Danilova,1996.0,
10.1016/s0042-6989(99)00059-0,[],0.67159,Mechanisms of perceptual learning,Barbara Anne Dosher; Zhong-Lin Lu,1999.0,
10.1523/jneurosci.13-01-00087.1993,[],0.66747,Plasticity in the frequency representation of primary auditory cortex following discrimination training in adult owl monkeys,GH Recanzone; CE Schreiner; MM Merzenich,1993.0,"<jats:p>Previous studies have shown that the tonotopic organization of primary auditory cortex is altered subsequent to restricted cochlear lesions (Robertson and Irvine, 1989) and that the topographic reorganization of the primary somatosensory cortex is correlated with changes in the perceptual acuity of the animal (Recanzone et al., 1992a-d). Here we report an increase in the cortical area of representation of a restricted frequency range in primary auditory cortex of adult owl monkeys that is correlated with the animal's performance at a frequency discrimination task. Monkeys trained for several weeks to discriminate small differences in the frequency of sequentially presented tonal stimuli revealed a progressive improvement in performance with training. At the end of the training period, the tonotopic organization of Al was defined by recording multiple-unit responses at 70-258 cortical locations. These responses were compared to those derived from three normal monkeys and from two monkeys that received the same auditory stimuli but that were engaged in a tactile discrimination task. The cortical representation, the sharpness of tuning, and the latency of the response were greater for the behaviorally relevant frequencies of trained monkeys when compared to the same frequencies of control monkeys. The cortical area of representation was the only studied parameter that was correlated with behavioral performance. These results demonstrate that attended natural stimulation can modify the tonotopic organization of Al in the adult primate, and that this alteration is correlated with changes in perceptual acuity."
10.1152/jn.1992.67.5.1031,[],0.668127,Topographic reorganization of the hand representation in cortical area 3b owl monkeys trained in a frequency-discrimination task,G. H. Recanzone; M. M. Merzenich; W. M. Jenkins; K. A. Grajski; H. R. Dinse,1992.0,"<jats:p> 1. Adult owl monkeys were trained to detect differences in the frequency of a tactile flutter-vibration stimulus above a 20-Hz standard. All stimuli were delivered to a constant skin site restricted to a small part of a segment of one finger. The frequency-difference discrimination performance of all but one of these monkeys improved progressively with training. 2. The distributed responses of cortical neurons (""maps"") of the hand surfaces were defined in detail in somatosensory cortical area 3b. Representations of trained hands were compared with those of the opposite, untrained hand, and to the area 3b representations of hands in a second set of monkeys that were stimulated tactually in the same manner while these monkeys were attending to auditory stimuli (passive stimulation controls). 3. The cortical representations of the trained hands were substantially more complex in topographic detail than the representations of unstimulated hands or of passively stimulated control hands. 4. In all well-trained monkeys the representations of the restricted skin location trained in the behavioral task were significantly (1.5 to greater than 3 times) greater in area than were the representations of equivalent skin locations on control digits. However, the overall extents of the representations of behaviorally stimulated fingers were not larger than those of control fingers in the same hemisphere, or in opposite hemisphere controls. 5. The receptive fields representing the trained skin were significantly larger than receptive fields representing control digits in all but one trained monkey. The largest receptive fields were centered in the zone of representation of the behaviorally engaged skin, but they were not limited to it. Large receptive fields were recorded in a 1- to 2-mm-wide zone in the area 3b maps of trained hands. 6. Receptive-field sizes were also statistically significantly larger on at least one adjacent, untrained digit when compared with the receptive fields recorded on the homologous digit of the opposite hand. 7. There was an increase in the percent overlaps of receptive fields in the cortical zone of representation of the trained skin. A significant number of receptive fields were centered on the behaviorally trained skin site. 8. The effects of increased topographic complexity, increased representation of the trained skin location, increased receptive-field size, and increased receptive-field overlap were not observed in the representations of the untrained hands in these same monkeys. Only modest increases in topographic complexity were recorded in the representations of passively stimulated hands, and no effects on receptive-field size or overlap were noted.(ABSTRACT TRUNCATED AT 400 WORDS) "
10.1038/35087601,[],0.664899,Practising orientation identification improves orientation coding in V1 neurons,Aniek Schoups; Rufin Vogels; Ning Qian; Guy Orban,2001.0,
10.1038/87470,[],0.670734,Learning to see: experience and attention in primary visual cortex,Roy E. Crist; Wu Li; Charles D. Gilbert,2001.0,
10.1152/jn.00690.2001,[],0.665614,Physiological Correlates of Perceptual Learning in Monkey V1 and V2,Geoffrey M. Ghose; Tianming Yang; John H. R. Maunsell,2002.0,"<jats:p> Performance in visual discrimination tasks improves with practice. Although the psychophysical parameters of these improvements have suggested the involvement of early areas in visual cortex, there has been little direct study of the physiological correlates of such perceptual learning at the level of individual neurons. To examine how neuronal response properties in the early visual system may change with practice, we trained monkeys for more than 6 mo in an orientation discrimination task in which behaviorally relevant stimuli were restricted to a particular retinal location and oriented around a specific orientation. During training the monkeys' discrimination thresholds gradually improved to much better than those of naive monkeys or humans. Although this improvement was specific to the trained orientation, it showed little retinotopic specificity. The receptive field properties of single neurons from regions representing the trained location and a location in the opposite visual hemifield were measured in V1 and V2. In most respects the receptive field properties in the representations of the trained and untrained regions were indistinguishable. However, in the regions of V1 and V2 representing the trained location, there were slightly fewer neurons whose optimal orientation was near the trained orientation. This resulted in a small but significant decrease in the V1 population response to the trained orientation at the trained location. Consequently, the observed neuronal populations did not exhibit any orientation-specific biases sufficient to explain the orientation specificity of the behavioral improvement. Pooling models suggest that the behavioral improvement was accomplished with a task-dependent and orientation-selective pooling of unaltered signals from early visual neurons. These data suggest that, even for training with stimuli suited to the selectivities found in early areas of visual cortex, behavioral improvements can occur in the absence of pronounced changes in the physiology of those areas. "
10.1523/jneurosci.4442-03.2004,[],0.663938,The Effect of Perceptual Learning on Neuronal Responses in Monkey Visual Area V4,Tianming Yang; John H. R. Maunsell,2004.0,"<jats:p>Previous studies have shown that perceptual learning can substantially alter the response properties of neurons in the primary somatosensory and auditory cortices. Although psychophysical studies suggest that perceptual learning induces similar changes in primary visual cortex (V1), studies that have measured the response properties of individual neurons have failed to find effects of the size described for the other sensory systems. We have examined the effect of learning on neuronal response properties in a visual area that lies at a later stage of cortical processing, area V4. Adult macaque monkeys were trained extensively on orientation discrimination at a specific retinal location using a narrow range of orientations. During the course of training, the subjects achieved substantial improvement in orientation discrimination that was primarily restricted to the trained location. After training, neurons in V4 with receptive fields overlapping the trained location had stronger responses and narrower orientation tuning curves than neurons with receptive fields in the opposite, untrained hemifield. The changes were most prominent for neurons that preferred orientations close to the trained range of orientations. These results provide the first demonstration of perceptual learning modifying basic neuronal response properties at an intermediate level of visual cortex and give insights into the distribution of plasticity across adult visual cortex."
10.1523/jneurosci.0457-06.2006,[],0.664109,Learning to See the Difference Specifically Alters the Most Informative V4 Neurons,S. Raiguel; R. Vogels; S. G. Mysore; G. A. Orban,2006.0,
10.1016/0042-6989(94)00141-8,[],0.667417,Perceptual learning in vernier acuity: What is learned?,Jukka Saarinen; Dennis M. Levi,1995.0,
10.1038/nn1255,[],0.66652,Perceptual learning and top-down influences in primary visual cortex,Wu Li; Valentin Piëch; Charles D Gilbert,2004.0,
10.1152/jn.1983.49.5.1127,[],0.656169,"Functional properties of neurons in middle temporal visual area of the macaque monkey. I. Selectivity for stimulus direction, speed, and orientation",J. H. Maunsell; D. C. Van Essen,1983.0,"<jats:p> 1. Recordings were made from single units in the middle temporal visual area (MT) of anesthetized, paralyzed macaque monkeys. A computer-driven stimulator was used to make quantitative tests of selectivity for stimulus direction, speed, and orientation. The data were taken from 168 units that were histologically identified as being in MT. 2. The results confirm previous reports of a high degree of direction selectivity in MT. The response above background to stimuli moving in a unit's preferred direction was, an average, 10.9 times that to stimuli moving in the opposite direction. There was a marked tendency for nearby units to have similar preferred directions. 3. Most units were also sharply tuned for the speed of stimulus motion. For some cells the response fell to less than half-maximal at speeds only a factor of two from the optimum; on average, responses were greater than half-maximal only over a 7.7-fold range of speed. The distribution of preferred speeds for different units was unimodal, with a peak near 32 degrees/s; the total range of preferred speeds extended from 2 to 256 degrees/s. Nearby units generally responded best to similar speeds of motion. 4. Most units in MT showed selectivity for stimulus orientation when tested with stationary, flashed bars. However, stationary stimuli generally elicited only brief responses; when averaged over the duration of the stimulus, the responses were much less than those to moving stimuli. The preferred orientation was usually, but not always, perpendicular to the preferred direction of movement. 5. A comparison of the results of the present study with a previous quantitative investigation in the owl monkey shows a striking similarity in response properties in MT of the two species. 6. The presence of both direction and speed selectivity in MT of the macaque suggests that this area is more specialized for the analysis of visual motion than has been previously recognized. "
10.1017/s095252380000715x,[],0.669758,A relationship between behavioral choice and the visual responses of neurons in macaque MT,K. H. Britten; W. T. Newsome; M. N. Shadlen; S. Celebrini; J. A. Movshon,1996.0,"<jats:title>Abstract</jats:title><jats:p>We have previously documented the exquisite motion sensitivity of neurons in extrastriate area MT by studying the relationship between their responses and the direction and strength of visual motion signals delivered to their receptive fields. These results suggested that MT neurons might provide the signals supporting behavioral choice in visual discrimination tasks. To approach this question from another direction, we have now studied the relationship between the discharge of MT neurons and behavioral choice, independently of the effects of visual stimulation. We found that trial-to-trial variability in neuronal signals was correlated with the choices the monkey made. Therefore, when a directionally selective neuron in area MT fires more vigorously, the monkey is more likely to make a decision in favor of the preferred direction of the cell. The magnitude of the relationship was modest, on average, but was highly significant across a sample of 299 cells from four monkeys. The relationship was present for all stimuli (including those without a net motion signal), and for all but the weakest responses. The relationship was reduced or eliminated when the demands of the task were changed so that the directional signal carried by the cell was less informative. The relationship was evident within 50 ms of response onset, and persisted throughout the stimulus presentation. On average, neurons that were more sensitive to weak motion signals had a stronger relationship to behavior than those that were less sensitive. These observations are consistent with the idea that neuronal signals in MT are used by the monkey to determine the direction of stimulus motion. The modest relationship between behavioral choice and the discharge of any one neuron, and the prevalence of the relationship across the population, make it likely that signals from many neurons are pooled to form the data on which behavioral choices are based."
10.1523/jneurosci.08-06-02201.1988,[],0.67542,A selective impairment of motion perception following lesions of the middle temporal visual area (MT),WT Newsome; EB Pare,1988.0,"<jats:p>Physiological experiments indicate that the middle temporal visual area (MT) of primates plays a prominent role in the cortical analysis of visual motion. We investigated the role of MT in visual perception by examining the effect of chemical lesions of MT on psychophysical thresholds. We trained rhesus monkeys on psychophysical tasks that enabled us to assess their sensitivity to motion and to contrast. For motion psychophysics, we employed a dynamic random dot display that permitted us to vary the intensity of a motion signal in the midst of masking motion noise. We measured the threshold intensity for which the monkey could successfully complete a direction discrimination. In the contrast task, we measured the threshold contrast for which the monkeys could successfully discriminate the orientation of stationary gratings. Injections of ibotenic acid into MT caused striking elevations in motion thresholds, but had little or no effect on contrast thresholds. The results indicate that neural activity in MT contributes selectively to the perception of motion."
10.1152/jn.2000.84.4.2166,[],0.66167,Reward-Predicting and Reward-Detecting Neuronal Activity in the Primate Supplementary Eye Field,Nelly Amador; Madeleine Schlag-Rey; John Schlag,2000.0,"<jats:p> In addition to cells specifically active with visual stimuli, saccades, or fixation, the supplementary eye field contains cells that fire in precise temporal relationship with the occurrence of reward. We studied reward-related activity in two monkeys performing a prosaccade/antisaccade task and in one monkey trained in memory prosaccades only. Two types of neurons were distinguished by their reciprocal firing pattern: reward-predicting (RP) and reward-detecting (RD). RP neurons linearly increased their firing as early as 150 ms before saccade onset until the occurrence of reward, at which time they abruptly ceased firing. In contrast, RD neurons fired in phase with reward delivery, even when its duration was varied and when it was repeated at different frequencies. RD discharges were little affected or unaffected by the position of a visual cue that briefly anchored the goal at the onset of reward. The complementary firing patterns of the RP and RD neurons could provide a feedback mechanism necessary for learning and performing the task. "
10.1523/jneurosci.14-06-03969.1994,[],0.665559,Responses of tonically active neurons in the primate's striatum undergo systematic changes during behavioral sensorimotor conditioning,T Aosaki; H Tsubokawa; A Ishida; K Watanabe; AM Graybiel; M Kimura,1994.0,"<jats:p>The basal ganglia have been implicated in motor planning and motor learning. In the study reported here, we directly tested for response plasticity in striatal neurons of macaque monkeys undergoing Pavlovian conditioning. To focus the study, we recorded from the tonically active neurons (TANs) of the striatum, which are known to respond to conditioned sensory stimuli that signal reward delivery and elicit behavioral reactions. The activities of 858 TANs were recorded extracellularly from the striatum in alert behaving macaque monkeys before, during, and after the acquisition of a classical conditioning task. Two monkeys were trained to lick reward juice delivered on a spoon simultaneously with the presentation of a click. Almost no licks were triggered by the cues at the start of training, but by the fifth day more than 90% of licks were triggered, and values were near 100% for the remainder of the 3 week training period. In the striatum, only a small number of TANs responded to the clicks at the start before conditioning (about 17%). During training, the numbers of responding TANs gradually increased, so that by the end of training more than 50– 70% of the TANs recorded (51.3–73.5%) became responsive to the clicks. The responses consisted of a pause in firing that occurred approximately 90 msec after the click and that was in some cells preceded by a brief activation and in most cells was followed by a rebound excitation. Prolonged recordings from single TANs (n = 6) showed that individual TANs can acquire a conditioned response within at least as short a time as 10 min. TANs retained such responsiveness after overtraining, and also after a 4 week intermission in training. When the monkey was trained to receive rewards in relation to a new conditioning stimulus, TANs were capable of switching their sensory response to the new stimulus. Histological reconstruction showed that the TANs that became responsive were broadly distributed in the region of striatum explored, which included the dorsal half to two-thirds of the caudate nucleus and putamen over a large anteroposterior span. We conclude that, during the acquisition of a sensorimotor association, TANs widely distributed through the striatum become responsive to sensory stimuli that induce conditioned behavior. This distributed change in activity could serve to modulate the activity of surrounding projection neurons in the striatum engaged in mediating learned behavior."
10.1007/bf00231732,[],0.669944,Responses to reward in monkey dorsal and ventral striatum,P. Apicella; T. Ljungberg; E. Scarnati; W. Schultz,1991.0,
10.1152/jn.1992.68.3.945,[],0.669309,Neuronal activity in monkey striatum related to the expectation of predictable environmental events,P. Apicella; E. Scarnati; T. Ljungberg; W. Schultz,1992.0,"<jats:p> 1. This study investigated neuronal activity in the striatum preceding predictable environmental events and behavioral reactions. Monkeys performed in a delayed go-nogo task that included separate time periods during which animals expected signals of behavioral significance, prepared for execution or inhibition of arm reaching movements, and expected the delivery of reward. In the task, animals were instructed by a green light cue to perform an arm reaching movement when a trigger stimulus came on approximately 3 s later (go situation). Movement was withheld after the same trigger light when the instruction cue had been red (nogo situation). Liquid reward was delivered on correct performance in both situations. 2. A total of 1,173 neurons were studied in the striatum (caudate nucleus and putamen) of 3 animals, of which 615 (52%) showed some change in activity during task performance. This report describes how the activity of 193 task-related neurons increased in advance of at least 1 component of the task, namely the instruction cue, the trigger stimulus, or the delivery of liquid reward. These neurons were found in dorsal and anterior parts of caudate and putamen and were slightly more frequent in the proximity of the internal capsule. 3. The activity of 16 neurons increased in both go and nogo trials before the onset of the instruction and subsided shortly after this signal. These activations may be related to the expectation of the instruction as the first signal in each trial. 4. The activity of 15 neurons increased between the instruction and the trigger stimulus in both go and nogo trials. These activations may be related to the expectation of the trigger stimulus independent of an arm movement. Further 56 neurons showed sustained activations only when the instruction requested a movement reaction. Activations were absent in trials in which the movement was withheld. Twenty-one of these neurons were tested with 2 different movement targets, 5 of which showed activity related to the direction of movement. These activations may be related to the preparation of movement or expectation of the specific movement triggering signal. The activity of an additional 20 neurons was unmodulated before the trigger stimulus in movement trials but increased in the interval between the no-movement instruction and the trigger stimulus for withholding the movement. These activations may be related to the preparation of movement inhibition as specific nogo reaction.(ABSTRACT TRUNCATED AT 400 WORDS) "
10.1523/jneurosci.2583-04.2004,[],0.667174,Independent Coding of Movement Direction and Reward Prediction by Single Pallidal Neurons,David Arkadir; Genela Morris; Eilon Vaadia; Hagai Bergman,2004.0,"<jats:p>Associating action with its reward value is a basic ability needed by adaptive organisms and requires the convergence of limbic, motor, and associative information. To chart the basal ganglia (BG) involvement in this association, we recorded the activity of 61 well isolated neurons in the external segment of the globus pallidus (GPe) of two monkeys performing a probabilistic visuomotor task. Our results indicate that most (96%) neurons responded to multiple phases of the task. The activity of many (34%) pallidal neurons was modulated solely by direction of movement, and the activity of only a few (3%) pallidal neurons was modulated exclusively by reward prediction. However, the activity of a large number (41%) of single pallidal neurons was comodulated by both expected trial outcome and direction of arm movement. The information carried by the neuronal activity of single pallidal neurons dynamically changed as the trial progressed. The activity was predominantly modulated by both outcome prediction and future movement direction at the beginning of trials and became modulated mainly by movement-direction toward the end of trials. GPe neurons can either increase or decrease their discharge rate in response to predicted future reward. The effects of movement-direction and reward probability on neural activity are linearly summed and thus reflect two independent modulations of pallidal activity. We propose that GPe neurons are uniquely suited for independent processing of a multitude of parameters. This is enabled by the funnel-structure characteristic of the BG architecture, as well as by the anatomical and physiological properties of GPe neurons."
10.1016/s0028-3908(98)00033-1,[],0.666964,Goal-directed instrumental action: contingency and incentive learning and their cortical substrates,Bernard W Balleine; Anthony Dickinson,1998.0,
10.1038/nn1209,[],0.668284,Prefrontal cortex and decision making in a mixed-strategy game,Dominic J Barraclough; Michelle L Conroy; Daeyeol Lee,2004.0,
10.2307/1909829,[],0.665932,Exposition of a New Theory on the Measurement of Risk,Daniel Bernoulli,1954.0,
10.1152/jn.1996.75.3.1061,[],0.666645,Neural signals in the monkey ventral striatum related to motivation for juice and cocaine rewards,E. M. Bowman; T. G. Aigner; B. J. Richmond,1996.0,"<jats:p> 1. The results of neuropsychological, neuropharmacological, and neurophysiological experiments have implicated the ventral striatum in reward-related processes. We designed a task to allow us to separate the effects of sensory, motor, and internal signals so that we could study the correlation between the activity of neurons in the ventral striatum and different motivational states. In this task, a visual stimulus was used to cue the monkeys as to their progress toward earning a reward. The monkeys performed more quickly and with fewer mistakes in the rewarded trials. After analyzing the behavioral results from three monkeys, we recorded from 143 neurons from two of the monkeys while they performed the task with either juice or cocaine reward. 2. In this task the monkey was required to release its grip on a bar when a small visual response cue changed colors from red (the wait signal) to green (the go signal). The duration of the wait signal was varied randomly. The cue became blue whenever the monkey successfully responded to the go signal within 1 s of its appearance. A reward was delivered after the monkey successfully completed one, two, or three trials. The schedules were randomly interleaved. A second visual stimulus that progressively brightened or dimmed signaled to the monkeys their progress toward earning a reward. This discriminative cue allowed the monkeys to judge the proportion of work remaining in the current ratio schedule of reinforcement. Data were collected from three monkeys while they performed this task. 3. The average reaction times became faster and error rates declined as the monkeys progressed toward completing the current schedule of reinforcement and thereby earning a reward, whereas the modal reaction time did not change. As the duration of the wait period before the go signal increased, the monkeys reacted more quickly but their error rates scarcely changed. From these results we infer that the effects of motivation and motor readiness in this task are generated by separate mechanisms rather than by a single mechanism subserving generalized arousal. 4. The activity of 138 ventral striatal neurons was sampled in two monkeys while they performed the task to earn juice reward. We saw tonic changes in activity throughout the trials, and we saw phasic activity following the reward. The activity of these neurons was markedly different during juice-rewarded trials than during correctly performed trials when no reward was forthcoming (or expected). The responses also were weakly, but significantly, related to the proximity of the reward in the schedules requiring more than one trial. 5. The monkeys worked to obtain intravenous cocaine while we recorded 62 neurons. For 57 of the neurons, we recorded activity while the monkeys worked in blocks of trials during which they self-administered cocaine after blocks during which they worked for juice. Although fewer neurons responded to cocaine than to juice reward (19 vs. 33%), this difference was not significant. The neuronal response properties to cocaine and juice rewards were independent; that is, the responses when one was the reward one failed to predict the response when the other was the reward. In addition, the neuronal activity lost most of its selectivity for rewarded trials, i.e, the activity did not distinguish nearly as well between cocaine and sham rewards as between juice and sham rewards. 6. Our results show that mechanisms by which cocaine acts do not appear to be the same as the ones activated when the monkeys were presented with an oral juice reward. This finding raises the intriguing possibility that the effects of cocaine could be reduced selectively without blocking the effects of many natural rewards. "
