DOI,Title,Authors,Year,References,Score,Layer
10.1007/bf00275687,Simplified neuron model as a principal component analyzer,Erkki Oja,1982.0,,,3
10.1142/s0129065789000475,"NEURAL NETWORKS, PRINCIPAL COMPONENTS, AND SUBSPACES",Erkki Oja,1989.0,,,3
10.1162/neco.1994.6.5.916,On Langevin Updating in Multilayer Perceptrons,Thorsteinn Rögnvaldsson,1994.0,,,3
10.1209/0295-5075/10/7/015,A Self-Organizing Network for Principal-Component Analysis,J Rubner; P Tavan,1989.0,,,3
10.1109/tassp.1985.1164557,Detection of signals by information theoretic criteria,M. Wax; T. Kailath,1985.0,,,3
10.1162/neco.1993.5.3.363,Backpropagation with Homotopy,Liping Yang; Wanzhen Yu,1993.0,,,3
10.1109/34.993558,Shape matching and object recognition using shape contexts,S. Belongie; J. Malik; J. Puzicha,2002.0,,,3
10.1023/a:1012454411458,Training Invariant Support Vector Machines,Dennis Decoste; Bernhard Schölkopf,2002.0,,,3
10.1006/inco.1995.1136,Boosting a Weak Learning Algorithm by Majority,Y. Freund,1995.0,,,3
10.2307/2287576,Projection Pursuit Regression,Jerome H. Friedman; Werner Stuetzle,1981.0,,,3
10.1162/089976602760128018,Training Products of Experts by Minimizing Contrastive Divergence,Geoffrey E. Hinton,2002.0,,,3
10.1364/josaa.20.001434,Hierarchical Bayesian inference in the visual cortex,Tai Sing Lee; David Mumford,2003.0,,,3
10.1109/34.982899,Recognizing handwritten digits using hierarchical products of experts,G. Mayraz; G.E. Hinton,2002.0,,,3
10.1016/0004-3702(92)90065-6,Connectionist learning of belief networks,Radford M. Neal,1992.0,,,3
10.1109/tip.2005.852470,Toward automatic phenotyping of developing embryos from videos,Feng Ning; D. Delhomme; Y. LeCun; F. Piano; L. Bottou; P.E. Barbano,2005.0,,,3
10.1016/0893-6080(89)90044-0,Optimal unsupervised learning in a single-layer linear feedforward neural network,Terence D. Sanger,1989.0,,,3
10.1162/jmlr.2003.4.7-8.1235,10.1162/jmlr.2003.4.7-8.1235,,2000.0,,,3
10.1007/bf02293745,Nonmetric Individual Differences Multidimensional Scaling: An Alternating Least Squares Method with Optimal Scaling Features,Yoshio Takane; Forrest W. Young; Jan de Leeuw,1977.0,,,3
10.1007/978-3-662-00784-6,Self-Organization and Associative Memory,Teuvo Kohonen,1988.0,,,3
10.1162/089976698300017953,GTM: The Generative Topographic Mapping,Christopher M. Bishop; Markus Svensén; Christopher K. I. Williams,1998.0,,,3
10.1016/s0031-3203(99)00078-3,Data visualization by multidimensional scaling: a deterministic annealing approach,Hansjörg Klock; Joachim M. Buhmann,2000.0,,,3
10.1016/0893-6080(94)90109-0,Topology representing networks,Thomas Martinetz; Klaus Schulten,1994.0,,,3
10.1126/science.272.5270.1905,Image Representations for Visual Learning,David Beymer; Tomaso Poggio,1996.0,,,3
10.1137/1.9780898719581,Templates for the Solution of Algebraic Eigenvalue Problems,,2000.0,,,3
10.1038/44565,Learning the parts of objects by non-negative matrix factorization,Daniel D. Lee; H. Sebastian Seung,1999.0,,,3
10.1137/1.9781611970265,Data Structures and Network Algorithms,Robert Endre Tarjan,1983.0,,,3
10.1126/science.1598577,Sparse Population Coding of Faces in the Inferotemporal Cortex,Malcolm P. Young; Shigeru Yamane,1992.0,,,3
10.1126/science.210.4468.390,"Multidimensional Scaling, Tree-Fitting, and Clustering",Roger N. Shepard,1980.0,,,3
10.1162/jocn.1991.3.1.71,Eigenfaces for Recognition,Matthew Turk; Alex Pentland,1991.0,,,3
10.1007/bf01421486,Visual learning and recognition of 3-d objects from appearance,Hiroshi Murase; Shree K. Nayar,1995.0,,,3
10.1126/science.1908118,Concurrent Processing and Complexity of Temporally Encoded Neuronal Messages in Visual Perception,John W. McClurkin; Lance M. Optican; Barry J. Richmond; Timothy J. Gawne,1991.0,,,3
10.1121/1.395916,Learning the hidden structure of speech,Jeffrey L. Elman; David Zipser,1988.0,,,3
10.1121/1.1912239,"Vowel Spectra, Vowel Spaces, and Vowel Identification",W. Klein; R. Plomp; L. C. W. Pols,1970.0,,,3
10.1126/science.1857964,Computations Underlying the Execution of Movement: A Biological Perspective,Emilio Bizzi; Ferdinando A. Mussa-Ivaldi; Simon Giszter,1991.0,,,3
10.1126/science.269.5224.676,Decadal Trends in the North Atlantic Oscillation: Regional Temperatures and Precipitation,James W. Hurrell,1995.0,,,3
10.1046/j.1365-8711.1998.01596.x,Automated classification of stellar spectra -- II. Two-dimensional classification with neural networks and principal components analysis,C. A. L. Bailer-Jones; M. Irwin; T. Von Hippel,1998.0,,,3
10.1126/science.356262,Synthetic Maps of Human Gene Frequencies in Europeans,P. Menozzi; A. Piazza; L. Cavalli-Sforza,1978.0,,,3
10.1038/326689a0,An analogue approach to the travelling salesman problem using an elastic net method,Richard Durbin; David Willshaw,1987.0,,,3
10.1007/978-3-662-00784-6_5,Self-Organizing Feature Maps,Teuvo Kohonen,1988.0,,,3
10.1016/0165-1684(94)90029-9,"Independent component analysis, A new concept?",Pierre Comon,1994.0,,,3
10.1162/neco.1995.7.6.1129,An Information-Maximization Approach to Blind Separation and Blind Deconvolution,Anthony J. Bell; Terrence J. Sejnowski,1995.0,,,3
10.1126/science.1251207,Perceptual Illusion of Rotation of Three-Dimensional Objects,Roger N. Shepard; Sherryl A. Judd,1976.0,,,3
10.1098/rspb.1978.0020,Representation and recognition of the spatial organization of three-dimensional shapes,,1978.0,,,3
10.1145/356924.356930,The Quadtree and Related Hierarchical Data Structures,Hanan Samet,1984.0,,,3
10.1016/0004-3702(81)90025-4,Inferring surfaces from images,Thomas O. Binford,1981.0,,,3
10.1145/356869.356871,Computational Approaches to Image Understanding,Michael Brady,1982.0,,,3
10.1115/1.3426923,Data Storage in the Cerebellar Model Articulation Controller (CMAC),J. S. Albus,1975.0,,,3
10.1115/1.3426922,A New Approach to Manipulator Control: The Cerebellar Model Articulation Controller (CMAC),J. S. Albus,1975.0,,,3
10.1109/2.29,Neural nets for adaptive filtering and adaptive pattern recognition,B. Widrow; R. Winter,1988.0,,,3
10.3138/9781487576752,A Triune Concept of the Brain and Behaviour,Paul MacLean,1973.0,,,3
10.1016/0025-5564(71)90051-4,A theory of cerebellar function,James S. Albus,1971.0,,,3
10.1016/0004-3702(87)90050-6,SOAR: An architecture for general intelligence,John E. Laird; Allen Newell; Paul S. Rosenbloom,1987.0,,,3
10.1145/356810.356816,The Hearsay-II Speech-Understanding System: Integrating Knowledge to Resolve Uncertainty,Lee D. Erman; Frederick Hayes-Roth; Victor R. Lesser; D. Raj Reddy,1980.0,,,3
10.1016/b978-1-55860-092-8.50012-5,Constraint-Directed Negotiation of Resource Reallocations,Arvind Sathi; Mark S. Fox,1989.0,,,3
10.1016/s0921-8890(05)80030-2,Internalized plans: A representation for action resources,David W. Payton,1990.0,,,3
10.1037/11494-000,The origins of intelligence in children.,Jean Piaget,1952.0,,,3
10.1016/0025-5564(79)90063-4,Mechanisms of planning and problem solving in the brain,James S. Albus,1979.0,,,3
10.1007/978-94-009-7758-7,Studies of Mind and Brain,Stephen Grossberg,1982.0,,,3
10.1037/h0029767,On the formation of psychological traits.,Anne Anastasi,1970.0,,,3
10.1037/0003-066x.38.2.175,Evolving trait concepts.,Anne Anastasi,1983.0,,,3
10.1002/j.1556-6676.1985.tb01015.x,Interpreting Results from Multiscore Batteries,ANNE ANASTASI,1985.0,,,3
10.1146/annurev.ps.37.020186.000245,Evolving Concepts of Test Validation,Anne Anastasi,1986.0,,,3
10.1037/0033-2909.93.1.179,Construct validity: Construct representation versus nomothetic span.,Susan E. Whitely,1983.0,,,3
10.1037/0021-9010.72.3.457,Stability of skilled performance across time: Some generalizations and limitations on utilities.,Rebecca A. Henry; Charles L. Hulin,1987.0,,,3
10.1037/0003-066x.35.11.1012,Test validity and the ethics of assessment.,Samuel Messick,1980.0,,,3
10.1037/0003-066x.36.10.1181,Testing and cognitive psychology.,Robert J. Sternberg,1981.0,,,3
10.1146/annurev.ps.29.020178.001143,Toward Assessment of Personal Competence and Incompetence in Life Situations,N D Sundberg; L R Snowden; W M Reynolds,1978.0,,,3
10.1007/bf02084158,The thermodynamics of computation—a review,Charles H. Bennett,1982.0,,,3
10.1109/tit.1974.1055172,Information-theoretic computation complexity,G. Chaitin,1974.0,,,3
10.1145/321832.321839,Information-Theoretic Limitations of Formal Systems,Gregory J. Chaitin,1974.0,,,3
10.1038/scientificamerican0575-47,Randomness and Mathematical Proof,Gregory J. Chaitin,1975.0,,,3
10.1145/321892.321894,A Theory of Program Size Formally Identical to Information Theory,Gregory J. Chaitin,1975.0,,,3
10.1147/rd.214.0350,Algorithmic Information Theory,G. J. Chaitin,1977.0,,,3
10.1002/cpa.3160310407,A note on monte carlo primality tests and algorithmic information theory,Gregory J. Chaitin; Jacob T. Schwartz,1978.0,,,3
10.1090/pspum/028.2/0432534,Hilbert’s tenth problem: Diophantine equations: positive aspects of a negative solution,Martin Davis; Yuri Matijasevič; Julia Robinson,1976.0,,,3
10.1007/978-1-4613-9435-8_10,What is a Computation?,Martin Davis,1978.0,,,3
10.1038/scientificamerican1179-20,Mathematical Games,Martin Gardner,1979.0,,,3
10.1080/00029890.1982.11995373,The Disk with the College Education,Herbert S. Wilf,1982.0,,,3
10.1037/0003-066x.51.2.77,Intelligence: Knowns and unknowns.,Ulric Neisser; Gwyneth Boodoo; Thomas J. Bouchard; A. Wade Boykin; Nathan Brody; Stephen J. Ceci; Diane F. Halpern; John C. Loehlin; Robert Perloff; Robert J. Sternberg; Susana Urbina,1996.0,,,3
10.1037/h0038215,Behavior and heredity.,Ellis B. Page,1972.0,,,3
10.1037/0003-066x.42.2.137,Survey of expert opinion on intelligence and aptitude testing.,Mark Snyderman; Stanley Rothman,1987.0,,,3
10.1037/0033-2909.102.1.3,Individual differences in skill learning: An integration of psychometric and information processing perspectives.,Phillip L. Ackerman,1987.0,,,3
10.1016/0001-8791(86)90017-5,General ability in employment: A discussion,Richard D Arvey,1986.0,,,3
10.1111/j.1744-6570.1991.tb00688.x,THE BIG FIVE PERSONALITY DIMENSIONS AND JOB PERFORMANCE: A META‐ANALYSIS,MURRAY R. BARRICK; MICHAEL K. MOUNT,1991.0,,,3
10.1037/0021-9010.78.3.443,Role of early supervisory experience in supervisor performance.,Walter C. Borman; Mary Ann Hanson; Scott H. Oppler; Elaine D. Pulakos; Leonard A. White,1993.0,,,3
10.1037/0021-9010.80.1.168,Effects of ratee task performance and interpersonal factors on supervisor and peer performance ratings.,Walter C. Borman; Leonard A. White; David W. Dorsey,1995.0,,,3
10.1037/0021-9010.76.6.863,Models of supervisory job performance ratings.,Walter C. Borman; Leonard A. White; Elaine D. Pulakos; Scott H. Oppler,1991.0,,,3
10.5465/amr.1988.4306775,Task Complexity: A Review and Analysis,Donald J. Campbell,1988.0,,,3
10.1016/s0160-2896(97)90012-x,"Psychometrics, intelligence, and public perception",John B. Carroll,1997.0,,,3
10.1037/0003-066x.50.11.928,Whither industrial and organizational psychology in a changing world of work?,Wayne F. Cascio,1995.0,,,3
10.1037/0096-3445.115.3.255,"A day at the races: A study of IQ, expertise, and cognitive complexity.",Stephen J. Ceci; Jeffrey K. Liker,1986.0,,,3
10.1016/s0160-2896(97)90017-9,Everyday life as an intelligence test: Effects of intelligence and intelligence context,Robert A. Gordon,1997.0,,,3
10.1037/0021-9010.65.6.697,"Construct validity of Holland's occupational typology in terms of prestige, census, Department of Labor, and other classification systems.",Linda S. Gottfredson,1980.0,,,3
10.1016/0001-8791(86)90008-4,Occupational Aptitude Patterns Map: Development and implications for a theory of job aptitude requirements,Linda S Gottfredson,1986.0,,,3
10.1016/0001-8791(84)90018-6,Explaining the adult careers of dyslexic boys: Variations in critical skills for high-level jobs,Linda S Gottfredson; Joan M Finucci; Barton Childs,1984.0,,,3
10.1037/0021-9010.68.4.602,Moderating effects of decision-making/information-processing job dimensions on test validities.,Rhonda L. Gutenberg; Richard D. Arvey; Hobart G. Osburn; P. R. Jeanneret,1983.0,,,3
10.1016/0001-8791(86)90013-8,"Cognitive ability, cognitive aptitudes, job knowledge, and job performance",John E Hunter,1986.0,,,3
10.1037/0033-2909.96.1.72,Validity and utility of alternative predictors of job performance.,John E. Hunter; Ronda F. Hunter,1984.0,,,3
10.1037/0021-9010.75.1.28,Individual differences in output variability as a function of job complexity.,John E. Hunter; Frank L. Schmidt; Michael K. Judiesch,1990.0,,,3
10.1017/s0140525x0000577x,What intuitions about homunculi don't show,Ned Block,1980.0,,,3
10.1017/s0140525x00001515,Rules and representations,Noam Chomsky,1980.0,,,3
10.1017/s0140525x00059859,Why not the whole iguana?,Daniel C. Dennett,1978.0,,,3
10.1017/s0140525x00058611,Précis of <i>The Intentional Stance</i>,Daniel C. Dennett,1988.0,,,3
10.1017/s0140525x00001771,Methodological solipsism considered as a research strategy in cognitive psychology,J. A. Fodor,1980.0,,,3
10.1017/s0140525x0001921x,Précis of <i>The Modularity of Mind</i>,Jerry A. Fodor,1985.0,,,3
10.1093/brain/88.2.237,DISCONNEXION SYNDROMES IN ANIMALS AND MAN,NORMAN GESCHWIND,1965.0,,,3
10.1111/j.1749-6632.1976.tb25468.x,A HYPOTHESIS ABOUT THE UNIQUENESS OF NATURAL LANGUAGE*,Jerrold J. Katz,1976.0,,,3
10.1017/s0140525x00013959,Multiple representations of space underlying behavior,Israel Lieblich; Michael A. Arbib,1982.0,,,3
10.1017/s0031819100057983,"Minds, Machines and Gödel",J. R. Lucas,1961.0,,,3
10.1109/18.720554,The minimum description length principle in coding and modeling,A. Barron; J. Rissanen; Bin Yu,1998.0,,,3
10.1016/s0019-9958(75)90261-2,Toward a mathematical theory of inductive inference,Lenore Blum; Manuel Blum,1975.0,,,3
10.1007/978-94-010-3578-1,The Methods of Contemporary Thought,J. M. BocheŃski,1965.0,,,3
10.1007/978-3-642-67075-6,The Structure and Measurement of Intelligence,Hans J. Eysenck,1979.0,,,3
10.1016/s0019-9958(67)91165-5,Language identification in the limit,E Mark Gold,1967.0,,,3
10.2307/2183532,The Inference to the Best Explanation,Gilbert H. Harman,1965.0,,,3
10.1145/141420.141422,The Turing Test is not a trick,Stevan Harnad,1992.0,,,3
10.1007/978-1-4757-2606-0,An Introduction to Kolmogorov Complexity and Its Applications,Ming Li; Paul Vitányi,1997.0,,,3
10.1126/science.283.5398.77,Rule Learning by Seven-Month-Old Infants,G. F. Marcus; S. Vijayan; S. Bandi Rao; P. M. Vishton,1999.0,,,3
10.1109/18.481776,Fisher information and stochastic complexity,J.J. Rissanen,1996.0,,,3
10.1016/s0022-0000(73)80030-3,Process complexity and effective random tests,C.P. Schnorr,1973.0,,,3
10.1109/18.144706,Universal prediction of individual sequences,M. Feder; N. Merhav; M. Gutman,1992.0,,,3
10.1016/s0893-6080(96)00127-x,Discovering Neural Nets with Low Kolmogorov Complexity and High Generalization Capability,Jürgen Schmidhuber,1997.0,,,3
10.1016/s0019-9958(64)90223-2,A formal theory of inductive inference. Part I,R.J. Solomonoff,1964.0,,,3
10.1109/tit.1978.1055913,Complexity-based induction systems: Comparisons and convergence theorems,R. Solomonoff,1978.0,,,3
10.1023/a:1007383707642,"Shifting Inductive Bias with Success-Story Algorithm, Adaptive Levin Search, and Incremental Self-Improvement",Jürgen Schmidhuber; Jieyu Zhao; Marco Wiering,1997.0,,,3
10.1111/j.2517-6161.1979.tb01066.x,Reference Posterior Distributions for Bayesian Inference,Jose M. Bernardo,1979.0,,,3
10.1109/18.54897,Information-theoretic asymptotics of Bayes methods,B.S. Clarke; A.R. Barron,1990.0,,,3
10.1109/tit.2005.844059,Clustering by Compression,R. Cilibrasi; P.M.B. Vitanyi,2005.0,,,3
10.2307/2981683,Present Position and Potential Developments: Some Personal Views: Statistical Theory: The Prequential Approach,A. P. Dawid,1984.0,,,3
10.1016/0304-3975(83)90139-1,On the relation between descriptional complexity and algorithmic probability,Péter Gács,1983.0,,,3
10.1006/jcss.2000.1743,New Error Bounds for Solomonoff Prediction,Marcus Hutter,2001.0,,,3
10.1109/tit.2003.814488,Convergence and loss bounds for bayesian sequence prediction,M. Hutter,2003.0,,,3
10.1109/18.651051,Laplace's law of succession and universal encoding,R.E. Krichevskiy,1998.0,,,3
10.1080/01621459.1996.10477003,The Selection of Prior Distributions by Formal Rules,Robert E. Kass; Larry Wasserman,1996.0,,,3
10.1109/tit.1976.1055501,On the Complexity of Finite Sequences,A. Lempel; J. Ziv,1976.0,,,3
10.1109/18.720534,Universal prediction,N. Merhav; M. Feder,1998.0,,,3
10.1214/aos/1176346150,A Universal Prior for Integers and Estimation by Minimum Description Length,Jorma Rissanen,1983.0,,,3
10.1142/s0129054102001291,HIERARCHIES OF GENERALIZED KOLMOGOROV COMPLEXITIES AND NONENUMERABLE UNIVERSAL MEASURES COMPUTABLE IN THE LIMIT,JÜRGEN SCHMIDHUBER,2002.0,,,3
10.1023/b:mach.0000015880.99707.b2,Optimal Ordered Problem Solver,Jürgen Schmidhuber,2004.0,,,3
10.1109/acv.1994.341300,Parameterisation of a stochastic model for human face identification,F.S. Samaria; A.C. Harter,,,,3
10.1109/cvpr.1994.323814,View-based and modular eigenspaces for face recognition,Pentland; Moghaddam; Starner,1994.0,,,3
10.1117/12.191877,&lt;title&gt;Face recognition using view-based and modular eigenspaces&lt;/title&gt;,Baback Moghaddam; Alexander P. Pentland,1994.0,,,3
10.1016/0031-3203(94)90081-7,Signature verification using global and grid features,Yingyong Qi; Bobby R. Hunt,1994.0,,,3
10.1007/bf00239352,Visual neurones responsive to faces in the monkey temporal cortex,D.I. Perrett; E.T. Rolls; W. Caan,1982.0,,,3
10.1007/3-540-60268-2_326,Learning human face detection in cluttered scenes,Kah -Kay Sung; Tomaso Poggio,1995.0,,,3
10.1162/neco.1994.6.6.1289,Boosting and Other Ensemble Methods,Harris Drucker; Corinna Cortes; L. D. Jackel; Yann LeCun; Vladimir Vapnik,1994.0,,,3
10.1162/neco.1995.7.5.867,Methods For Combining Experts' Probability Assessments,Robert A. Jacobs,1995.0,,,3
10.1109/5.58325,The self-organizing map,T. Kohonen,1990.0,,,3
10.1016/0031-3203(94)90031-0,Evaluation of pattern classifiers for fingerprint and OCR applications,J.L. Blue; G.T. Candela; P.J. Grother; R. Chellappa; C.L. Wilson,1994.0,,,3
10.1109/34.254061,Face recognition: features versus templates,R. Brunelli; T. Poggio,1993.0,,,3
10.1109/6.259484,Vital signs of identity [biometrics],B. Miller,1994.0,,,3
10.1109/icpr.1994.576879,Comparison of classifier methods: a case study in handwritten digit recognition,L. Bottou; C. Cortes; J.S. Denker; H. Drucker; I. Guyon; L.D. Jackel; Y. LeCun; U.A. Muller; E. Sackinger; P. Simard; V. Vapnik,,,,3
10.1109/5.381842,Human and machine recognition of faces: a survey,R. Chellappa; C.L. Wilson; S. Sirohey,1995.0,,,3
10.1109/tassp.1987.1165110,Text-dependent speaker verification using vector quantization source coding,D. Burton,1987.0,,,3
10.1109/72.143371,Quantifying the neighborhood preservation of self-organizing feature maps,H.-U. Bauer; K.R. Pawelzik,1992.0,,,3
10.1109/cvpr.1996.517076,Feature-based face recognition using mixture-distance,I.J. Cox; J. Ghosn; P.N. Yianilos,1996.0,,,3
10.1109/dcc.1993.253111,Algorithms for fast vector quantization,S. Arya; D.M. Mount,,,,3
10.1007/978-3-642-97610-0,Self-Organizing Maps,Teuvo Kohonen,1995.0,,,3
10.1109/72.125866,Global optimization of a neural network-hidden Markov model hybrid,Y. Bengio; R. De Mori; G. Flammia; R. Kompe,1992.0,,,3
10.1016/0031-3203(91)90081-f,Design of a neural network character recognizer for a touch terminal,I. Guyon; P. Albrecht; Y. Le Cun; J. Denker; W. Hubbard,1991.0,,,3
10.1162/neco.1989.1.4.541,Backpropagation Applied to Handwritten Zip Code Recognition,Y. LeCun; B. Boser; J. S. Denker; D. Henderson; R. E. Howard; W. Hubbard; L. D. Jackel,1989.0,,,3
10.1109/34.57669,The state of the art in online handwriting recognition,C.C. Tappert; C.Y. Suen; T. Wakahara,1990.0,,,3
10.1016/0031-3203(86)90025-7,Recognition of isolated and simply connected handwritten numerals,M. Shridhar; A. Badreldin,1986.0,,,3
10.1016/0262-8856(87)90071-0,Context-directed segmentation algorithm for handwritten numeral strings,M Shridhar; A Badreldin,1987.0,,,3
10.1002/j.1538-7305.1983.tb03115.x,"On the Application of Vector Quantization and Hidden Markov Models to Speaker-Independent, Isolated Word Recognition",L. R. Rabiner; S. E. Levinson; M. M. Sondhi,1983.0,,,3
10.1016/0167-6393(88)90053-2,On large-vocabulary speaker-independent continuous speech recognition,Kai-Fu Lee,1988.0,,,3
10.1109/icassp.1987.1169727,A minimum discrimination information approach for hidden Markov modeling,Y. Ephraim; A. Dembo; L. Rabiner,,,,3
10.1109/icassp.1986.1169179,Maximum mutual information estimation of hidden Markov model parameters for speech recognition,L. Bahl; P. Brown; P. de Souza; R. Mercer,,,,3
10.1016/s0885-2308(86)80009-2,Continuously variable duration hidden Markov models for automatic speech recognition,S.E. Levinson,1986.0,,,3
10.1109/icassp.1985.1168283,Context-dependent modeling for acoustic-phonetic recognition of continuous speech,R. Schwartz; Y. Chow; O. Kimball; S. Roucos; M. Krasner; J. Makhoul,,,,3
10.1002/j.1538-7305.1985.tb00274.x,Some Properties of Continuous Hidden Markov Model Representations,L. R. Rabiner; B.-H. Juang; S. E. Levinson; M. M. Sondhi,1985.0,,,3
10.1002/j.1538-7305.1985.tb00439.x,A Probabilistic Distance Measure for Hidden Markov Models,B.-H. Juang; L. R. Rabiner,1985.0,,,3
10.1109/tassp.1985.1164586,"A speaker-independent, syntax-directed, connected word recognition system based on hidden Markov models and level building",L. Rabiner; S. Levinson,1985.0,,,3
10.1016/s0885-2308(86)80021-3,A model-based connected-digit recognition system using either hidden Markov models or templates,L.R. Rabiner; J.G. Wilpon; B.H. Juang,1986.0,,,3
10.1109/tassp.1985.1164727,Mixture autoregressive hidden Markov models for speech signals,Biing-Hwang Juang; L. Rabiner,1985.0,,,3
10.1109/icassp.1987.1169604,Context-dependent phonetic Markov models for large vocabulary speech recognition,A.-M. Derouault,,,,3
10.1109/icassp.1982.1171633,Linear predictive hidden Markov models and the speech signal,A. Poritz,,,,3
10.1109/icassp.1987.1169731,Speech recognition with very large size dictionary,B. Merialdo,,,,3
10.1109/icassp.1987.1169748,BYBLOS: The BBN continuous speech recognition system,Y. Chow; M. Dunham; O. Kimball; M. Krasner; G. Kubala; J. Makhoul; P. Price; S. Roucos; R. Schwartz,,,,3
10.1109/icassp.1985.1168477,Explicit modelling of state occupancy in hidden Markov models for automatic speech recognition,M. Russell; R. Moore,1985.0,,,3
10.1090/s0002-9904-1967-11751-8,An inequality with applications to statistical estimation for probabilistic functions of Markov processes and to a model for ecology,Leonard E. Baum; J. A. Eagon,1967.0,,,3
10.1214/aoms/1177699147,Statistical Inference for Probabilistic Functions of Finite State Markov Chains,Leonard E. Baum; Ted Petrie,1966.0,,,3
10.1109/proc.1973.9030,The viterbi algorithm,G.D. Forney,1973.0,,,3
10.1007/bf00133697,A framework for object recognition in a visually complex environment and its application to locating address blocks on mail pieces,Ching-Huei Wang; Sargur N. Srihari,1988.0,,,3
10.1109/2.144438,Postal address block location in real time,P.W. Palumbo; S.N. Srihari; J. Soh; R. Sridhar; V. Demjanenko,1992.0,,,3
10.1007/bf01212455,Analysis of textual images using the Hough transform,Sargur N. Srihari; Venugopal Govindaraju,1989.0,,,3
10.1109/tsmc.1979.4310076,A Threshold Selection Method from Gray-Level Histograms,Nobuyuki Otsu,1979.0,,,3
10.1109/icpr.1990.118197,Reading newspaper text,S.W. Lam; D. Wang; S.N. Srihari,,,,3
10.1016/0734-189x(89)90116-3,Classification of newspaper image blocks using texture analysis,Dacheng Wang; Sargur N Srihari,1989.0,,,3
10.1145/357423.357428,Integrating diverse knowledge sources in text recognition,Sargur N. Srihari; Jonathan J. Hull; Ramesh Choudhari,1983.0,,,3
10.1109/cvpr.1992.223205,Off-line handwritten word recognition (HWR) using a single contextual hidden Markov model,M.-Y. Chen; A. Kundu; J. Zhou,,,,3
10.1142/s0218001491000156,UNDERSTANDING HANDWRITTEN TEXT IN A STRUCTURED ENVIRONMENT: DETERMINING ZIP CODES FROM ADDRESSES,EDWARD COHEN; JONATHAN J. HULL; SARGUR N. SRIHARI,1991.0,,,3
10.1109/21.105083,A generalized knowledge-based system for the recognition of unconstrained handwritten numerals,T.A. Mai; C.Y. Suen,1990.0,,,3
10.1016/0165-1684(86)90001-0,An alternate smoothing and stripping algorithm for thinning digital binary patterns,Yat Keung Chu; Ching Y Suen,1986.0,,,3
10.1016/0165-1684(91)90050-s,A dynamic shape preserving thinning algorithm,Louisa Lam; Ching Y. Suen,1991.0,,,3
10.1142/9789814434362_0011,CONTOUR TRACING AND PARAMETRIC APPROXIMATIONS FOR DIGITIZED PATTERNS,R. Legault; C.Y. Suen,1989.0,,,3
10.1016/0031-3203(86)90027-0,Heuristic approach to handwritten numeral recognition,Jun S. Huang; Keren Chuang,1986.0,,,3
10.1016/0031-3203(88)90017-9,Handprinted symbol recognition system,R.M. Brown; T.H. Fay; C.L. Walker,1988.0,,,3
10.1109/34.62612,A new set of constraint-free character recognition grammars,L. Stringa,1990.0,,,3
10.1007/bf01215877,A model-based computer vision system for recognizing handwritten ZIP codes,Brian T. Mitchell; Andrew M. Gillies,1989.0,,,3
10.1016/0031-3203(80)90043-6,A combination of statistical and syntactical pattern recognition applied to classification of unconstrained handwritten numerals,B. Duerr; W. Haettich; H. Tropf; G. Winkler,1980.0,,,3
10.1142/s0218001487000023,COMPUTER RECOGNITION OF TOTALLY UNCONSTRAINED HANDWRITTEN ZIP CODES,PERVEZ AHMED; C. Y. SUEN,1987.0,,,3
10.1016/0165-1684(82)90021-4,Distinctive features in automatic recognition of handprinted characters,Ching Y. Suen,1982.0,,,3
10.1016/0031-3203(70)90029-4,Microprogram controlled pattern processing in a handwritten mail reader-sorter,Ken-Ichi Mori; Hiroshi Genchi; Sadakazu Watanabe; Sumio Katsuragi,1970.0,,,3
10.1016/0031-3203(88)90041-6,A high accuracy algorithm for recognition of handwritten numerals,Glenn Baptista; K.M. Kulkarni,1988.0,,,3
10.1109/tsmc.1977.4309763,Syntactic Recognition of Handwritten Numerals,Farhat Ali; Theodosios Pavlidis,1977.0,,,3
10.1109/proc.1980.11675,Automatic recognition of handprinted characters—The state of the art,C.Y. Suen; M. Berthod; S. Mori,1980.0,,,3
10.1016/0031-3203(88)90068-4,Structural classification and relaxation matching of totally unconstrained handwritten zip-code numbers,Louisa Lam; Ching Y. Suen,1988.0,,,3
10.1109/icpr.1990.118143,Complementary algorithms for the recognition of totally unconstrained handwritten numerals,C. Nadal; R. Legault; C.Y. Suen,,,,3
10.1111/j.1469-1809.1936.tb02137.x,THE USE OF MULTIPLE MEASUREMENTS IN TAXONOMIC PROBLEMS,R. A. FISHER,1936.0,,,3
10.4153/cjm-1954-037-2,The Relaxation Method for Linear Inequalities,Shmuel Agmon,1954.0,,,3
10.1109/pgec.1965.264207,An Algorithm for Linear Inequalities and its Applications,Y-C. Ho; R. L. Kashyap,1965.0,,,3
10.1109/tssc.1966.300080,An Adaptive Pattern Classification System,J. Patterson; B. Womack,1966.0,,,3
10.1109/nnsp.1991.239512,New discriminative training algorithms based on the generalized probabilistic descent method,S. Katagiri; C.-H. Lee; B.-H. Juang,,,,3
10.1109/nnsp.1991.239540,Discriminative multi-layer feed-forward networks,S. Katagiri; C.-H. Lee; B.-H. Juang,,,,3
10.1109/tassp.1987.1165237,On the use of bandpass liftering in speech recognition,Biing-Hwang Juang; L. Rabiner; J. Wilpon,1987.0,,,3
10.1109/massp.1987.1165576,An introduction to computing with neural nets,R. Lippmann,1987.0,,,3
10.1109/jrproc.1961.287776,Self-Organizing Systems-A Review and Commentary,J. Hawkins,1961.0,,,3
